Degree,Average Connectivity
5,4.258185787048266
2,2.999154320794312
7,5.246753246753247
8,5.671449777337951
1,2.7871898069129246
6,4.70787526792505
10,6.481243063263041
3,3.383716928132876
4,3.7903583730789614
12,7.230799683293745
11,6.781501726121979
9,6.184170471841704
13,7.032893032893033
15,7.6594724220623505
16,7.689903846153846
18,7.212121212121212
17,7.399816176470588
27,5.104938271604938
23,5.473429951690822
14,7.213560551124003
21,5.481684981684982
26,1.8269230769230769
22,7.2727272727272725
20,6.140909090909091
42,7.261904761904762
24,3.2708333333333335
19,7.373865698729583
28,5.035714285714286
29,5.494252873563219
32,3.125
25,4.8
33,3.686868686868687
30,6.383333333333334
34,2.676470588235294
35,1.2285714285714286
43,3.0697674418604652
