featdim,species id
0,9544
1,272563
2,6183
3,262316
4,210007
5,525378
6,290434
7,5811
8,457421
9,10090
10,9606
11,9685
12,655812
13,390236
14,907239
15,4932
16,9823
17,7091
18,665959
19,3702
20,9031
21,5691
22,743965
23,226185
24,29760
25,4081
26,4577
27,633131
28,5833
29,83332
30,9986
31,9913
32,7159
33,272631
34,864570
35,904294
36,7165
37,10141
38,5821
39,7955
40,4513
41,4113
42,257313
43,4896
44,350054
45,5141
46,3847
47,211110
48,6239
49,272623
50,10116
51,9598
52,543734
53,5061
54,44689
55,71421
56,7227
57,5759
